unimod_id,code_name,full_name,avg_mass,mono_mass,composition,residue,classification,misc_notes_x,misc_notes_y
1,Acetyl,Acetylation,42.0367,42.0106,H(2) C(2) O,T,Post-translational,,
1,Acetyl,Acetylation,42.0367,42.0106,H(2) C(2) O,N-term,Post-translational,,
1,Acetyl,Acetylation,42.0367,42.0106,H(2) C(2) O,S,Post-translational,,
1,Acetyl,Acetylation,42.0367,42.0106,H(2) C(2) O,C,Post-translational,,
2,Amide,Amidation,-0.9848,-0.984,H N O(-1),C-term,Post-translational,,
3,Biotin,Biotinylation,226.2954,226.0776,H(14) C(10) N(2) O(2) S,K,Post-translational,,
5,Carbamyl,Carbamylation,43.0247,43.0058,H C N O,N-term,Post-translational,Carbamylation is an irreversible process of non-enzymatic modification of proteins by the breakdown products of urea isocyanic acid reacts with the N-term of a proteine or side chains of lysine and arginine residues,
7,Deamidation,Deamidation,0.9848,0.984,H(-1) N(-1) O,R,Post-translational,,Protein which is post-translationally modified by the de-imination of one or more arginine residues; Peptidylarginine deiminase (PAD) converts protein bound to citrulline
7,Deamidation,Deamidation,0.9848,0.984,H(-1) N(-1) O,F,Post-translational,,
21,Phospho,Phosphorylation,79.9799,79.9663,H O(3) P,E,Post-translational,"Neutral loss of phosphate is typically observed from Y/H/D/E/K/C, rather than the preferential loss of phosphoric acid from S/T.",
21,Phospho,Phosphorylation,79.9799,79.9663,H O(3) P,R,Post-translational,"Neutral loss of phosphate is typically observed from Y/H/D/E/K/C, rather than the preferential loss of phosphoric acid from S/T.",
21,Phospho,Phosphorylation,79.9799,79.9663,H O(3) P,K,Post-translational,"Neutral loss of phosphate is typically observed from Y/H/D/E/K/C, rather than the preferential loss of phosphoric acid from S/T.",
21,Phospho,Phosphorylation,79.9799,79.9663,H O(3) P,H,Post-translational,"Neutral loss of phosphate is typically observed from Y/H/D/E/K/C, rather than the preferential loss of phosphoric acid from S/T.",Rare
21,Phospho,Phosphorylation,79.9799,79.9663,H O(3) P,C,Post-translational,"Neutral loss of phosphate is typically observed from Y/H/D/E/K/C, rather than the preferential loss of phosphoric acid from S/T.",Rare
21,Phospho,Phosphorylation,79.9799,79.9663,H O(3) P,D,Post-translational,"Neutral loss of phosphate is typically observed from Y/H/D/E/K/C, rather than the preferential loss of phosphoric acid from S/T.",Rare
21,Phospho,Phosphorylation,79.9799,79.9663,H O(3) P,Y,Post-translational,"Neutral loss of phosphate is typically observed from Y/H/D/E/K/C, rather than the preferential loss of phosphoric acid from S/T.",
21,Phospho,Phosphorylation,79.9799,79.9663,H O(3) P,T,Post-translational,"Neutral loss of phosphate is typically observed from Y/H/D/E/K/C, rather than the preferential loss of phosphoric acid from S/T.",
21,Phospho,Phosphorylation,79.9799,79.9663,H O(3) P,S,Post-translational,"Neutral loss of phosphate is typically observed from Y/H/D/E/K/C, rather than the preferential loss of phosphoric acid from S/T.",
23,Phospho+PL,Dehydration,-18.0153,-18.0106,H(-2) O(-1),Y,Post-translational,,beta-elimination
23,Phospho+PL,Dehydration,-18.0153,-18.0106,H(-2) O(-1),T,Post-translational,,beta-elimination
23,Phospho+PL,Dehydration,-18.0153,-18.0106,H(-2) O(-1),S,Post-translational,,beta-elimination
23,Phospho+PL,Dehydration,-18.0153,-18.0106,H(-2) O(-1),N,Post-translational,,
23,Phospho+PL,Dehydration,-18.0153,-18.0106,H(-2) O(-1),Q,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,E,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,D,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,N-term,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,L,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,I,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,R,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,Q,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,N,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,K,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,H,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,C,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,S,Post-translational,,
34,Methyl,Methylation,14.0266,14.0157,H(2) C,T,Post-translational,,
35,Hydroxylation,Oxidation or Hydroxylation,15.9994,15.9949,O,C,Post-translational,,sulfenic acid
35,Hydroxylation,Oxidation or Hydroxylation,15.9994,15.9949,O,R,Post-translational,,
35,Hydroxylation,Oxidation or Hydroxylation,15.9994,15.9949,O,Y,Post-translational,,dihydroxyphenylalanine (DOPA)
35,Hydroxylation,Oxidation or Hydroxylation,15.9994,15.9949,O,P,Post-translational,,glutamic semialdehyde
35,Hydroxylation,Oxidation or Hydroxylation,15.9994,15.9949,O,N,Post-translational,,3-hydroxyasparagine
35,Hydroxylation,Oxidation or Hydroxylation,15.9994,15.9949,O,K,Post-translational,,
35,Hydroxylation,Oxidation or Hydroxylation,15.9994,15.9949,O,D,Post-translational,,3-hydroxyaspartic acid
36,di-Methylation,di-Methylation,28.0532,28.0313,H(4) C(2),P,Post-translational,,
36,di-Methylation,di-Methylation,28.0532,28.0313,H(4) C(2),N,Post-translational,,
36,di-Methylation,di-Methylation,28.0532,28.0313,H(4) C(2),R,Post-translational,,
37,tri-Methylation,tri-Methylation,42.0797,42.047,H(6) C(3),A,Post-translational,,
37,tri-Methylation,tri-Methylation,42.0797,42.047,H(6) C(3),K,Post-translational,,
39,b-methylthiol,Beta-methylthiolation,46.0916,45.9877,H(2) C S,N,Post-translational,,
39,b-methylthiol,Beta-methylthiolation,46.0916,45.9877,H(2) C S,D,Post-translational,,
40,Sulfation,O-Sulfonation,80.0632,79.9568,O(3) S,S,Post-translational,,"Because the modification is quantitatively lost on CID, site assigment is not possible when there is a choice of sites"
40,Sulfation,O-Sulfonation,80.0632,79.9568,O(3) S,T,Post-translational,,"Because the modification is quantitatively lost on CID, site assigment is not possible when there is a choice of sites"
40,Sulfation,O-Sulfonation,80.0632,79.9568,O(3) S,Y,Post-translational,,"Because the modification is quantitatively lost on CID, site assigment is not possible when there is a choice of sites"
40,Sulfation,O-Sulfonation,80.0632,79.9568,O(3) S,C,Post-translational,,Sulfitolysis
42,Lipoyl,Lipoyl,188.3103,188.033,H(12) C(8) O S(2),K,Post-translational,This group is normally a substituent on N6 of a lysine residue of an enzyme or other protein,
44,Farnesylation,Farnesylation,204.3511,204.1878,H(24) C(15),C,Post-translational,,
45,Myristoylation,Myristoylation,210.3556,210.1984,H(26) C(14) O,C,Post-translational,,
45,Myristoylation,Myristoylation,210.3556,210.1984,H(26) C(14) O,K,Post-translational,,
45,Myristoylation,Myristoylation,210.3556,210.1984,H(26) C(14) O,G,Post-translational,,
46,Pyridoxal-phos,Pyridoxal phosphate,229.1266,229.014,H(8) C(8) N O(5) P,K,Post-translational,"The co-enzyme derivative of vitamin B6. Forms Schiff\'s bases of substrate amino acids during catalysis of transamination, decarboxylation and racemisation reactions.",
47,Palmitoylation,Palmitoylation,238.4088,238.2297,H(30) C(16) O,T,Post-translational,"Palmitoylation is a post-translational modification that consists in the addition of a 16 carbons fatty acid, palmitate, to a cysteine residue through the creation of a thioester link.",
47,Palmitoylation,Palmitoylation,238.4088,238.2297,H(30) C(16) O,S,Post-translational,"Palmitoylation is a post-translational modification that consists in the addition of a 16 carbons fatty acid, palmitate, to a cysteine residue through the creation of a thioester link.",
47,Palmitoylation,Palmitoylation,238.4088,238.2297,H(30) C(16) O,K,Post-translational,"Palmitoylation is a post-translational modification that consists in the addition of a 16 carbons fatty acid, palmitate, to a cysteine residue through the creation of a thioester link.",
47,Palmitoylation,Palmitoylation,238.4088,238.2297,H(30) C(16) O,C,Post-translational,"Palmitoylation is a post-translational modification that consists in the addition of a 16 carbons fatty acid, palmitate, to a cysteine residue through the creation of a thioester link.",
47,Palmitoylation,Palmitoylation,238.4088,238.2297,H(30) C(16) O,N-term,Post-translational,"Palmitoylation is a post-translational modification that consists in the addition of a 16 carbons fatty acid, palmitate, to a cysteine residue through the creation of a thioester link.",
48,Geranyl-geranyl,Geranyl-geranyl,272.4681,272.2504,H(32) C(20),C,Post-translational,,
49,p-pantetheine,Phosphopantetheine,340.333,340.0858,H(21) C(11) N(2) O(6) P S,S,Post-translational,"Protein which contains at least one phosphopantetheine as the prosthetic group. In acyl carrier proteins (ACP) for example, it serves as a \'swinging arm\' for the attachment of activated fatty acid and amino-acid groups.",
50,FAD,Flavin adenine dinucleotide,783.5339,783.1415,H(31) C(27) N(9) O(15) P(2),Y,Post-translational,,
50,FAD,Flavin adenine dinucleotide,783.5339,783.1415,H(31) C(27) N(9) O(15) P(2),H,Post-translational,,
50,FAD,Flavin adenine dinucleotide,783.5339,783.1415,H(31) C(27) N(9) O(15) P(2),C,Post-translational,,
51,Tripalmitate,N-acyl diglyceride cysteine,789.3049,788.7258,H(96) C(51) O(5),C,Post-translational,,
53,HNE,4-hydroxynonenal (HNE),156.2221,156.115,H(16) C(9) O(2),K,Post-translational,"A lipid-type modification. HNE forms a Michael addition product on Cysteine, Histidine and Lysines. Unusually, it doesn\'t replace a hydrogen on the amino acid side chain.",
53,HNE,4-hydroxynonenal (HNE),156.2221,156.115,H(16) C(9) O(2),H,Post-translational,"A lipid-type modification. HNE forms a Michael addition product on Cysteine, Histidine and Lysines. Unusually, it doesn\'t replace a hydrogen on the amino acid side chain.",
